category_id,n_test,R2_real
17,90,0.8682123608253205
27,44,0.789427773362438
25,53,0.583203608028626
10,135,0.40835824618234384
23,108,0.2655842235995777
1,64,0.13427541559803335
26,110,0.011422980940604677
22,85,-0.026434173997051724
28,56,-0.028504128981069243
24,359,-0.10584624705368784
20,34,-0.4747452238317891
