K,chance,exact,floor_rate,overshoot_avg_steps
3,0.3333333333333333,0.6958762886597938,0.8754295532646048,1.096551724137931
4,0.25,0.615979381443299,0.8513745704467354,1.2658959537572254
5,0.2,0.5240549828178694,0.8298969072164949,1.3636363636363635
10,0.1,0.32216494845360827,0.7603092783505154,1.8279569892473118
