group,name,R2_real,R2_log,RMSE,MAPE
ablation,(a) 全体1モデル / 変換なし,0.956790199193544,0.8856733836950982,47560.017172344575,66.31999174819063
ablation,(b) 全体1モデル / 対数変換,0.9537306010217206,0.9258963061076537,49215.03516327672,51.469411042798754
ablation,(c) ジャンル分割 / 変換なし,0.9772182416650266,0.9042029792165468,34533.80965711967,46.20594107692945
ablation,(d) ジャンル分割 / 対数変換,0.9747484806536575,0.9551431076444483,36357.55147579054,32.74191741901804
no_leak,(e) 投稿時点特徴量 / RF / 対数,0.9538363852300176,0.9675974267568795,49158.74361066887,31.60330733130233
no_leak,(f) 投稿時点特徴量 / HGB / 対数,0.8094994691560984,0.8888302303384871,99861.70246476044,92.0445420676397
ref,(g) 参考:投稿時点+リーク / RF,0.98908463501627,0.9873141584249696,23903.968160031876,14.716133732010473
