eval,R2_real,R2_real_std,R2_log,RMSE,MAE
timeseries,0.39561727314082457,0.19680529468253874,-0.006838115292909364,78572.09061487143,25095.40380637822
random_kfold,0.36243269505599407,0.15933817779230314,0.17133258265306825,85966.79638099537,24193.009052800677
