task,R2_real,R2_log,RMSE,MAE,AUC
基準: 数値特徴(チャンネル込み),0.4091115355448617,0.09302670455377082,142180.14279898794,43579.52807076083,
方向1: 数値+TF-IDF(300語),0.4484331162651406,0.1070088404843268,137367.90720069237,43009.42802454831,
方向2a: 内容特徴のみ(チャンネル除外),-0.07282211215794043,-0.9456257678735263,191579.94683809855,57442.034256001236,
方向2a+: 内容+TF-IDF(チャンネル除外),-0.010382864735394959,-0.565942436353934,185921.31243367528,54258.48687418102,
方向3a: エンゲージ率 likes/views,0.42636350599356443,,0.02451997648036989,0.018245939354759492,
方向3b: 高likes二値分類(>学習中央値),,,,,0.8179876640939377
