fold,target,method,window,alpha,n_cal,tau,coverage,mean_floor,informative_rate
4,D4,conformal,recent2,0.05,255,0.1367,0.974,1.116,0.767
4,D4,uncalibrated,-,0.05,0,0.05,0.997,0.585,0.537
5,v1,conformal,all,0.1,633,0.4733,0.925,2.275,0.975
5,v1,conformal,recent4,0.1,378,0.43,0.95,2.1,0.975
5,v1,conformal,recent2,0.1,155,0.4033,0.95,2.1,0.975
5,v1,uncalibrated,-,0.1,0,0.1,1.0,0.925,0.8
5,v1,conformal,all,0.05,633,0.2867,0.95,1.775,0.975
5,v1,conformal,recent4,0.05,378,0.2833,0.95,1.775,0.975
5,v1,conformal,recent2,0.05,155,0.2833,0.95,1.775,0.975
5,v1,uncalibrated,-,0.05,0,0.05,1.0,0.6,0.575
5,D4,conformal,all,0.1,633,0.1867,0.925,1.2,0.85
5,D4,conformal,recent4,0.1,378,0.19,0.925,1.2,0.85
5,D4,conformal,recent2,0.1,155,0.2133,0.925,1.275,0.875
5,D4,uncalibrated,-,0.1,0,0.1,0.975,0.85,0.725
5,D4,conformal,all,0.05,633,0.1367,0.975,1.05,0.85
5,D4,conformal,recent4,0.05,378,0.1367,0.975,1.05,0.85
5,D4,conformal,recent2,0.05,155,0.1367,0.975,1.05,0.85
5,D4,uncalibrated,-,0.05,0,0.05,1.0,0.425,0.375
