group,members,n,n_test,R2,MAPE
entertainment,"1,20,23,24,43",15349,3070,0.9606795441676024,36.99253016030916
info,"25,26,27,28",10137,2028,0.919109131890005,48.90367316594434
music,10,5275,1055,0.9881077675364986,25.515296995588045
lifestyle,"2,15,19,22",4421,885,0.9860431002300788,29.95550595322152
sports,17,1998,400,0.9790432796197308,34.25261718219478
social,29,56,12,0.9999995992143947,34.373271187531316
