fold,n_train,n_test,R2_real,R2_log,RMSE,MAE,split
1,972,969,0.06562149025079478,-0.2673944134076687,71972.30049825966,23747.330852806845,timeseries
2,1941,969,0.4196532288540412,-0.05337339293040544,53094.74623163767,18623.460856211255,timeseries
3,2910,969,0.5816820870922297,-0.04727500174199095,37728.20645178179,15343.564050952958,timeseries
4,3879,969,0.4982662438920149,0.24784618375921408,84496.33775670656,23702.250992073717,timeseries
5,4848,969,0.4128633156150422,0.08600604785630417,145568.86213597146,44060.41227984633,timeseries
