channel_title,avg_views,video_count
STX Entertainment,1301666,2
The Slow Mo Guys,1291600,18
Ben Katz,1290657,1
SMTOWN,1289075,6
Noah Nicholls,1288977,1
thegameawards,1287342,1
Gabbie Hanna,1271535,4
radiodisney,1267263,1
BellatorMMA,1249702,1
CAguileraVEVO,1249593,2
Niki and Gabi,1234198,2
Open Road Films,1216410,1
Ryland Adams,1208190,2
IISuperwomanII,1205880,18
Marques Brownlee,1203898,16
Gerry Litwin,1202896,1
Charlie Puth,1195793,9
Casually Explained,1173714,2
grav3yardgirl,1168504,4
miniminter,1160074,1
Charlie Corts,1158470,1
Natalies Outlet,1151244,2
Daily Caller,1142585,1
Blonded,1137333,1
RackaRacka,1133142,1
Inanna Sarkis,1129548,2
Sam Chui,1126715,1
Foot Locker,1120841,1
Screen Junkies,1120809,23
DemiLovatoVEVO,1118830,2
That Japanese Man Yuta,1111674,1
Team Edge,1108443,6
Karina Garcia,1102666,2
AmazingPhil,1099200,3
ESPN UK,1099132,1
Rachel and Jun,1098897,1
British Vogue,1092534,1
DuckSoss,1089884,1
HalseyVEVO,1089519,1
The Late Late Show with James Corden,1087354,43
Bkav Corp,1080230,1
TechRax,1076049,3
ABC Television Network,1075313,4
AlishaMarie,1075018,4
American Idol,1065063,13
1theK (원더케이),1063552,1
Janelle Monáe,1060516,5
The 1975,1053884,1
Kingdom Hearts,1052924,1
ThirtySecondsToMarsVEVO,1052582,2
Annapurna Channel,1050725,1
Wengie,1048933,1
Shyrynne,1035381,1
Carter Sharer,1034432,1
joyner lucas,1032297,1
JunsKitchen,1014481,4
Nick Ramos,994747,1
TinasheOfficialVEVO,992245,3
Guava Juice,991869,9
FoundFlix,990404,1
HollywoodLife,990382,2
TheEllenShow,989501,72
jacksfilms,988030,18
Bethany Mota,987801,1
Kitchen Nightmares,987234,4
LouisTomlinsonVEVO,985998,1
PlayOverwatch,985287,3
Smosh,983857,14
The 2x Family,983779,1
bill wurtz,978956,2
Studio MDHR,978409,1
Linus Tech Tips,975268,7
ThatcherJoe,971574,1
WatchMojo.com,968378,1
Hayley Kiyoko,966029,1
Tanner Fox,963212,1
Jess Conte,958445,1
Gatorade,957603,1
Mike Austin,953860,1
Oscars,952863,1
Microsoft Surface,949030,1
DIY Perks,947071,1
Anna Saccone,944695,1
The Graham Norton Show,943100,15
PlayStation,938603,1
Turkish Airlines,936185,1
Ben Pluimer,931830,1
Dorkly,931112,1
Jimmy Kimmel Live,928588,67
杰威爾音樂 JVR Music,916128,1
Real Madrid C.F.,915989,1
BMW USA,907516,1
Zebra Corner,902301,1
colinfurze,897166,7
Max Joseph,895352,1
BBC Music,893462,1
Dolan Twins,891912,1
Brave Wilderness,889429,9
ExplosmEntertainment,884363,12
mariahxlambily,878841,1
The Sims,875878,1
KBAK - KBFX - Eyewitness News - BakersfieldNow,875327,1
LaurDIY,871713,5
Snapchat,867588,1
SamSmithWorldVEVO,866778,3
Prince,866303,1
Matthias,860547,7
Carrie Underwood,859034,1
Davie504,858447,3
TechSmartt,857625,3
Anwar Jibawi,855183,3
PTXofficial,853095,3
ThomasRhettVEVO,851835,1
MeghanTrainorVEVO,850417,4
Doritos®,847882,1
Revolt TV,847289,1
EntertainmentVevo,845262,1
the Hacksmith,843366,2
Ladylike,842278,3
CrashRacing,831968,1
As/Is,830566,7
Guy Tang,828909,1
Papa Jake,828444,6
DisneyMusicVEVO,826708,3
NFL Network,821663,1
Doug DeMuro,813827,6
McDonald's,812990,2
PitbullVEVO,812864,2
Tasty,812420,28
EltonJohnVEVO,806841,1
FORMULA 1,802588,2
Graham The Christian,798567,1
John Mayer,798095,1
REACT,796529,14
MyLifeAsEva,787579,3
Jaclyn Hill,787397,4
SHAYTARDS,785136,1
Bleecker Street,783815,4
Complex,780840,14
Warped Perception,780422,1
BuzzFeedVideo,778883,32
Jeep,778702,1
Morgan Adams,778160,3
marshmello,775414,2
Architectural Digest,770099,3
UFC ON FOX,769802,1
NFL,765653,36
DJKhaledVEVO,765387,1
HOT 97,757804,1
Bleacher Report,756578,3
The Tonight Show Starring Jimmy Fallon,755109,71
littlerobotgirl,754415,1
HaileeSteinfeldVEVO,751525,1
Doctor Who,747653,1
Sam O'Nella Academy,746495,1
Zoella,742135,6
TopClips247,740553,1
Vogue,740120,23
BuzzFeedBlue,739357,6
DALLMYD,738309,3
KYLE HANAGAMI,733656,1
Billboard,732158,7
Swish Daily,731035,1
Tyler Williams,727844,2
zefrank1,726175,3
CrazyRussianHacker,724277,15
Rella On the radio,720285,1
The Daily Show with Trevor Noah,719562,10
Wassabi Productions,717201,2
Capital FM,714905,2
H3 Podcast Highlights,712752,1
DONG,711722,2
BRIGHT SIDE,711209,1
Binging with Babish,708491,9
BillieEilishVEVO,707608,1
Jordan Wilson,706989,1
WIRED,704933,26
ThreadBanger,704614,7
TBS,704356,3
AlishaMarieVlogs,700068,1
NASA Goddard,699274,2
Cristi Cristian,699223,1
Leroy Sanchez,698200,1
Kanye West - Topic,694556,2
Waterjet Channel,691934,3
AvE,691592,1
SELF,691505,1
Nintendo,688963,9
TheOdd2sOut,688645,1
HBO,686929,11
carrieunderwoodVEVO,686109,3
shgurr,685579,1
LIL UZI VERT,682894,1
KhalidVEVO,682823,2
Mark Sales,681390,1
Global News,680476,1
VH1,678570,3
Jess Glynne,678094,1
SnowPatrolVEVO,677983,1
Iris,676024,1
Kylie Moy,674629,1
EA SPORTS FIFA,674446,1
DJSnakeVEVO,673010,1
Will Smith,669873,9
Ubisoft North America,669475,1
TroyeSivanVEVO,666708,6
CGP Grey,665368,2
StorrorBlog,665163,1
Cam'ron,664666,1
LOL Network,664027,9
Freddie Lister,662308,1
Kim Kardashian West,661775,1
Pokémon GO,660509,1
FallOutBoyVEVO,654358,4
The X Factor UK,653186,2
Tati,650956,13
johnmayerVEVO,650153,1
Markiplier,648978,5
ET Canada,648544,1
Rapid Highlights,645290,1
JarJar Abrams,643117,1
Team Coco,638476,14
Doctor Mike,638000,3
494ta,637942,1
Sprint,637000,1
Bobby Bones,636209,1
RemyMaVEVO,634254,3
ABC Action News,633042,3
PBS NewsHour,626539,8
Why Don't We,626351,1
The King of Random,626143,17
Kylie Cosmetics,625244,2
Mercury News,624226,1
Mikey Murphy,621594,1
MiguelVEVO,618382,3
The Late Show with Stephen Colbert,618206,55
Simply Not Logical,617598,3
EverythingApplePro,617154,8
SabrinaCarpenterVEVO,615690,2
Dan And Shay,613222,1
MamaMiaMakeup,611611,1
FrenchMontanaVEVO,607810,1
5SOSVEVO,604619,3
Alan Walker,602880,6
Groupon,601853,1
Just Wow me,601839,1
Battle Universe!,598726,1
FlorenceMachineVEVO,596500,2
All Def Digital,596062,1
What's Inside?,595416,7
cheeseandjamsandwich,593426,1
GraceVanderWaalVEVO,593095,2
Ryan Is Driving,592963,1
TheBackyardScientist,588908,1
BURGER KING,587365,2
Absolut,586498,1
OneBitMusicVEVO,585180,1
Muse,585170,1
Esther Bellido,583360,1
DanAndPhilGAMES,580796,1
BBC,580469,6
Big Marvel,578233,5
Duston Ward,578128,1
Jesse,576294,1
ScatterBrain News,575459,1
SadeVEVO,575067,1
First We Feast,573547,31
Chili Klaus,572170,1
Valk Aviation,571588,1
Nikita Dragun,571044,2
The Voice,566844,17
Tim Milgram,566644,2
CollegeHumor,564244,25
Ryan Canty,563246,1
Good Mythical Morning,562134,20
NHL,558439,2
Late Night with Seth Meyers,557837,37
Linkin Park,557595,4
